,AST,BLK,COMMENT,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_ID,MIN,OREB,PF,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,START_POSITION,STL,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TO
0,1.0,0.0,,1.0,4.0,2.0,0.5,7.0,4.0,0.571,0.0,0.0,0.0,0021500892,29:24,1.0,3.0,2399,Mike Dunleavy,-7.0,10.0,2.0,F,0.0,CHI,Chicago,1610612741,0.0
1,1.0,0.0,,1.0,0.0,0.0,0.0,6.0,4.0,0.667,7.0,5.0,0.714,0021500892,23:03,2.0,2.0,201959,Taj Gibson,-8.0,13.0,3.0,F,1.0,CHI,Chicago,1610612741,1.0
2,6.0,1.0,,8.0,2.0,1.0,0.5,13.0,6.0,0.462,2.0,2.0,1.0,0021500892,30:26,1.0,2.0,2200,Pau Gasol,-16.0,15.0,9.0,C,0.0,CHI,Chicago,1610612741,1.0
3,2.0,0.0,,2.0,4.0,2.0,0.5,6.0,3.0,0.5,0.0,0.0,0.0,0021500892,19:10,0.0,4.0,202734,E'Twaun Moore,-6.0,8.0,2.0,G,2.0,CHI,Chicago,1610612741,1.0
4,3.0,0.0,,0.0,1.0,1.0,1.0,11.0,6.0,0.545,7.0,4.0,0.571,0021500892,24:10,0.0,0.0,201565,Derrick Rose,-19.0,17.0,0.0,G,1.0,CHI,Chicago,1610612741,3.0
5,1.0,0.0,,0.0,1.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,0021500892,14:48,0.0,3.0,203503,Tony Snell,-4.0,2.0,0.0,,0.0,CHI,Chicago,1610612741,1.0
6,1.0,0.0,,0.0,2.0,0.0,0.0,12.0,5.0,0.417,1.0,1.0,1.0,0021500892,26:24,1.0,0.0,203926,Doug McDermott,-7.0,11.0,1.0,,1.0,CHI,Chicago,1610612741,1.0
7,0.0,0.0,,5.0,1.0,1.0,1.0,8.0,5.0,0.625,0.0,0.0,0.0,0021500892,26:51,2.0,4.0,1626171,Bobby Portis,-6.0,11.0,7.0,,4.0,CHI,Chicago,1610612741,1.0
8,1.0,0.0,,2.0,5.0,3.0,0.6,15.0,5.0,0.333,5.0,3.0,0.6,0021500892,21:54,0.0,2.0,201166,Aaron Brooks,-4.0,16.0,2.0,,0.0,CHI,Chicago,1610612741,0.0
9,1.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0021500892,6:16,1.0,1.0,1626245,Cristiano Felicio,-7.0,0.0,1.0,,0.0,CHI,Chicago,1610612741,0.0
10,3.0,1.0,,1.0,3.0,1.0,0.333,6.0,2.0,0.333,2.0,2.0,1.0,0021500892,16:19,0.0,1.0,203200,Justin Holiday,-8.0,7.0,1.0,,1.0,CHI,Chicago,1610612741,0.0
11,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0021500892,1:15,0.0,0.0,203946,Cameron Bairstow,2.0,1.0,1.0,,0.0,CHI,Chicago,1610612741,0.0
12,,,NWT - Left Knee Strain                  ,,,,,,,,,,,0021500892,,,,202710,Jimmy Butler,,,,,,CHI,Chicago,1610612741,
13,4.0,1.0,,4.0,3.0,2.0,0.667,13.0,10.0,0.769,2.0,2.0,1.0,0021500892,32:32,1.0,1.0,2207,Joe Johnson,24.0,24.0,5.0,F,0.0,MIA,Miami,1610612748,2.0
14,2.0,0.0,,4.0,3.0,3.0,1.0,10.0,8.0,0.8,2.0,1.0,0.5,0021500892,36:50,0.0,5.0,2736,Luol Deng,14.0,20.0,4.0,F,1.0,MIA,Miami,1610612748,2.0
15,1.0,5.0,,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0021500892,14:59,2.0,2.0,2405,Amar'e Stoudemire,16.0,7.0,4.0,C,0.0,MIA,Miami,1610612748,1.0
16,7.0,1.0,,2.0,0.0,0.0,0.0,13.0,7.0,0.538,6.0,4.0,0.667,0021500892,34:13,0.0,5.0,2548,Dwyane Wade,13.0,18.0,2.0,G,1.0,MIA,Miami,1610612748,5.0
17,11.0,0.0,,4.0,2.0,0.0,0.0,14.0,8.0,0.571,2.0,1.0,0.5,0021500892,34:34,0.0,3.0,201609,Goran Dragic,25.0,17.0,4.0,G,1.0,MIA,Miami,1610612748,1.0
18,0.0,0.0,,2.0,1.0,0.0,0.0,6.0,4.0,0.667,0.0,0.0,0.0,0021500892,27:02,0.0,2.0,1626159,Justise Winslow,-2.0,8.0,2.0,,0.0,MIA,Miami,1610612748,3.0
19,1.0,4.0,,13.0,0.0,0.0,0.0,11.0,8.0,0.727,11.0,10.0,0.909,0021500892,33:01,1.0,1.0,202355,Hassan Whiteside,2.0,26.0,14.0,,0.0,MIA,Miami,1610612748,1.0
20,2.0,0.0,,3.0,3.0,1.0,0.333,7.0,4.0,0.571,1.0,0.0,0.0,0021500892,26:49,0.0,4.0,1626196,Josh Richardson,-2.0,9.0,3.0,,2.0,MIA,Miami,1610612748,0.0
21,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500892,,,,101123,Gerald Green,,,,,,MIA,Miami,1610612748,
22,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500892,,,,2617,Udonis Haslem,,,,,,MIA,Miami,1610612748,
23,,,DNP - Coach's Decision                  ,,,,,,,,,,,0021500892,,,,201177,Josh McRoberts,,,,,,MIA,Miami,1610612748,
